1889.00,3416.00,2649.00,29.00,7.70,35.00,59.80,5.90,313097000.00,254700.00
1653.00,2884.00,2056.00,20.80,26.70,48.10,66.40,5.50,192010300.00,322500.00
1210.00,3842.00,2813.00,31.20,22.80,26.90,58.80,9.70,44058600.00,390000.00
1549.00,2693.00,3419.00,46.20,15.20,39.00,58.40,7.50,180607500.00,292500.00
1228.00,3789.00,3878.00,19.60,26.60,16.90,59.90,7.20,178141000.00,462300.00
504.00,3706.00,3512.00,24.80,19.10,36.10,39.80,3.50,61434100.00,335100.00
973.00,2407.00,1274.00,9.10,8.20,7.30,54.00,12.60,265690800.00,44200.00
1742.00,4192.00,3420.00,34.50,10.20,34.60,60.20,2.90,319715800.00,395400.00
1743.00,6034.00,4781.00,17.90,8.80,55.80,42.80,6.50,184764800.00,486200.00
1897.00,4396.00,4205.00,18.70,21.50,20.80,43.80,7.50,136693600.00,511300.00
1538.00,3660.00,3454.00,22.90,25.60,11.10,51.60,11.80,52712700.00,445200.00
1109.00,4132.00,3967.00,44.50,19.40,11.10,51.80,11.30,79017400.00,462200.00
1637.00,3800.00,3786.00,32.20,21.40,24.00,57.10,6.50,50717400.00,554400.00
1763.00,4144.00,4263.00,34.60,14.10,5.70,44.50,11.80,46717500.00,463000.00
1187.00,3877.00,3080.00,25.50,3.90,20.40,59.80,9.20,209186900.00,262800.00
1406.00,4185.00,5550.00,16.80,29.30,21.80,45.70,11.30,77044300.00,450600.00
1139.00,1323.00,3229.00,16.60,20.90,14.60,58.50,13.20,96119000.00,170700.00
1217.00,2300.00,3045.00,13.60,40.40,23.00,58.50,9.70,30480800.00,188200.00
1288.00,4556.00,10000.00,14.40,69.40,5.80,50.70,8.40,99586700.00,291700.00
1736.00,5633.00,4905.00,13.90,42.70,31.90,56.40,6.10,98911200.00,579700.00
1176.00,1472.00,3409.00,11.50,34.00,4.20,51.10,17.50,59501300.00,367500.00
1127.00,2709.00,2750.00,9.20,53.80,10.00,56.30,11.70,74211700.00,405900.00
1178.00,3736.00,4404.00,22.30,19.20,7.50,61.40,16.20,34943300.00,400000.00
1219.00,5562.00,4956.00,18.40,46.60,32.50,48.40,8.90,43355200.00,575800.00
1563.00,3473.00,740.00,18.50,21.80,14.40,57.60,12.10,44492000.00,441400.00
1329.00,3383.00,5330.00,25.40,23.70,17.10,59.70,4.30,120913700.00,332300.00
611.00,2616.00,3429.00,20.60,19.50,7.00,49.20,21.80,114244400.00,356000.00
1568.00,2765.00,2587.00,29.10,22.70,10.10,49.20,22.90,38002400.00,392300.00
1416.00,3569.00,4229.00,15.10,35.70,3.10,52.80,14.40,90241000.00,267300.00
1623.00,3227.00,3346.00,38.70,16.40,5.50,46.50,15.80,47408000.00,418900.00
1387.00,3781.00,3262.00,25.90,26.20,16.00,51.80,21.90,184342600.00,422400.00
1304.00,3390.00,3230.00,28.30,24.10,9.20,55.70,12.80,77888100.00,425700.00
1291.00,3655.00,4447.00,27.30,40.30,10.00,56.30,13.80,50323300.00,383400.00
1426.00,2733.00,4000.00,27.60,11.20,4.50,56.60,20.60,36575000.00,371200.00
1478.00,2994.00,2813.00,13.80,24.80,1.40,51.70,18.90,45722500.00,444500.00
877.00,5308.00,2694.00,1.80,28.30,2.90,44.40,21.60,55635100.00,327300.00
1201.00,2958.00,3339.00,13.50,24.20,2.20,54.70,14.20,43782200.00,350500.00
1058.00,1973.00,1231.00,14.70,42.70,9.00,48.90,18.70,64756900.00,346500.00
773.00,3645.00,783.00,20.10,30.00,0.00,40.00,21.70,47405200.00,416700.00
1374.00,2745.00,1341.00,21.80,35.70,8.90,51.30,22.60,43593200.00,345800.00
1157.00,2694.00,1321.00,12.50,21.60,3.30,56.10,19.30,49696200.00,383300.00
1076.00,2088.00,2150.00,10.60,42.60,2.70,42.90,20.00,63829900.00,286900.00
